text,category_hint
"KSP. Sejahtra Bersama Melayani pinjaman degan bunga 4%, Min 5jt s/d 500jt, jaminan kk&ktp. Minat? wa: 085244082486",fraud_candidate
"Salam Bpk/Ibu Kmi Ad pnwaran Modal Usaha DLL Dngan Bnga 2%/thun Proses Cair Dlam 2 jam AMan, Amanah & Tnpa Anggunan Mnat hub Whatsup 087788789777",fraud_candidate
KSP.SEJAHTERA BERSAMA Menawarkan Pinjaman Dana Online (bunga 0.6%) Minat Chat/WA 085341977016 Limit Sampai 500 Juta Tenor max 10 Tahun,fraud_candidate
"MasterRupiah Bunga 0.6% Syarat Mudah Tanpa Deposit Awal & Biaya Admin, KTA Multiguna TakeOver NoBiChacking Wa:0816208901 https://masterrupiah.com",fraud_candidate
Hanya Kk & Ktp Sudah Bisa buat modal usaha dengan bunga% Min 5-500jt Melayani Seluruh Indonesia Minat WA:087844302111 tks...,fraud_candidate
Maaf Mengganggu Waktunya Pak/Ibu Kami Dari KOPERASI Menawarkan PINJAMAN-ONLINE 5jt Sampai 500jt Poses Cepat Bunga 2% Pertahun Info Whatsapp :0823-1757-2717,fraud_candidate
"KSP SEJAHTERA BERSAMA Butuh Dana Cepat? Buat -Modal -Biaya Pendidikan -Biaya Berobat -DLL Mulai 5jt S/D 500jt Dgn Bunga 0,6% PerTahun INFO Chat WA 082352241375",fraud_candidate
"Alhamdulillah berkat bantuan AKI  JAGAT semua hutang  sy udah lunas,ingin sperti sy slahkan KLIK www.layanan-pesugihan.com",fraud_candidate
Yth BAPAK/IBU SPESIAL AWAL TAHUN PUNYA MASALAH DI SEGI FINANCIAL DAN BUTUH. PINJMN DANA DARURAT!!!??? (NON BANK) 5jt-500jt INFO WA : 0852-8336-0989,fraud_candidate
Info Pinjaman Tunai Cepat Cair Dan Terpercaya Tampa Agunan Tampa Riba Info Chat WA:085248724234,fraud_candidate
(KSP SEJAHTERA BERSAMA) Melayani pengajuan pinjaman berbasis  ONLINE Tanpa agunan min pinjaman 5 s/d 250jt  Bunga Cuma 2% minat Chat Via WA: 085360130404,fraud_candidate
KSP SEJAHTERA BERSAMA Mnawarkan pinjaman berbasis online tanpa agunan dan tanpa survei bunga rendah hanya 2% MIN pinjaman 5jt sampai 500jt info WA 087827398789,fraud_candidate
Selamat... Anda mndptkn hadiah dari shopee dgn kode pin:AD25MD47 untk info klick: bit.ly/supershoppingday99-2020,fraud_candidate
maaf mengganggu bpk/ibu saya bpk dermawan bisa membantu anda masalah keuangan hanya dgn bunga 2% info wa 087709373769,fraud_candidate
"Asslm wr.wb kami  Dari koperasi mnawarkan Pinjaman dana untk usaha, Berobat dll, dgn bunga 2% Perthun mnml pijmn 5-500jt Proses mudah&cepat info WA;082217122699",fraud_candidate
"Ass,,Bpk/Ibu Tersedia Pinjmn Tmpa Agunan Dngn Bung 2%/Thn Miniml 5 jt S/D 500jt Untuk Inf0 Chat Whatsap 081377738575",fraud_candidate
KSP SB Butuh Dana Cepat? Buat -Modal -Biaya Pendidikan -Biaya Berobat -DLL Tampa Agunan Mulai 5jt S/D 500jt Dgn Bunga 2% PerTahun INFO http://bit.ly/2L9J21t,fraud_candidate
BUAT BPK/IBU YG  LAGI BUTUH BIAYA TANBAHAN UNTUK USAHA DLL  KAMI SIAP MELAYANI ANDA DGN BUNGA 2%/PERTAHUN MIN 5 JT-500 JT INFO WASPPA:082260512778,fraud_candidate
"Butuh Pinjaman Dana Tunai min 5jt-500jt Syarat KTP & KK Bunga Ringan 1%/thn BUAT MODAL USAHA RENOFASI RUMAH DLL, WA:082264377986 klik: http://bit.ly/2YbKAv7",fraud_candidate
"Asslm wr.wb kami mnawarkan Pinjaman dana untk usaha, Berobat dll, dgn bunga 2% Pertahun mnml pijmn 5-500jt Proses mudah&cepat info WA;087865547457",fraud_candidate
